0,Nom,Prenom,Jour,Mois,Annee,Adresse,Telephone,Taille,Billet,Categorie,Fidelite
001,PATRICK,Jean,7,Avril,1967,2 avenue Mozart,0710101010,180,T2 : 70e 45 attractions,Normal,200
002,JACKSON,Michel,25,Juin,1943,19 rue de Caulaincourt,0711111111,192,T3 : 85e Attractions illimitees,Senior,300
003,YIN,Ash,5,Juillet,2011,45 rue de Rennes,0726262626,120,T1 : 50e 20 attractions,Junior,100
004,FERNAND,Antoine,25,Mars,1988,56 rue Chaponval,0770202020,180,T3 : 85e Attractions illimitees,Normal,300
005,DELALANDE,Anna,20,Juillet,2001,110 rue Marcadet,0720072001,175,T3 : 85e Attractions illimitees,Normal,300
006,TRUITE,Barbara,7,Septembre,1959,2 rue des Peupliers,0638237702,167,T1 : 50e 20 attractions,Normal,100
007,GRAND,Ariane,24,Janvier,2009,23 boulevard Grenelle,0627282910,155,T2 : 70e 45 attractions,Normal,200
008,ROUMEZ,Timothéo,11,Février,2015,39 rue de Tocqueville,0239393901,145,T3 : 85e Attractions illimitees,Junior,300
009,RIGAULT,Corinne,24,Juillet,1933,2 rue du Bac,0627373922,164,T3 : 85e Attractions illimitees,Senior,300
0010,MALKIEWICZ,Joanna,5,Septembre,1979,6 rue des Amendiers,0729039033,178,T2 : 70e 45 attractions,Normal,200
0011,AHR,Joao,1,Novembre,1996,39 rue Allentown,0293939393,189,T3 : 85e Attractions illimitees,Normal,300
0012,POT,Stuart,23,Mai,1978,29 rue Crawley,0238294023,182,T1 : 50e 20 attractions,Normal,100
0013,STYL,Marion,4,Septembre,2013,2 rue Bonaparte ,0283942823,167,T3 : 85e Attractions illimitees,Junior,300
0014,ROBERT,Florence,8,Juillet,2010,36 rue Drumont,0283949320,155,T2 : 70e 45 attractions,Junior,200
0015,LEFEBVRE,Marie,8,Avril,1934,29 rue de Riviere,020299328,140,T1 : 50e 20 attractions,Senior,100
0016,joij,oijjoi,6,Juillet,1905,jijoi,678908,678,T2 : 70e 45 attractions,Senior,200
